id	word	token	category	table_name	column_name	alias	dotted_name	function_call	pseudocolumn	notes
kw_064	DELETE	2054	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_065	DENSE_RANK	2055	function	allow	allow	skip	allow	allow	skip	lexer keyword classified by local Oracle parser policy
kw_066	DESC	2056	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_067	DETERMINISTIC	2057	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_068	DIMENSION	2279	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_069	DIRECTORY	2326	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_070	DISABLE	2058	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_071	DISASSOCIATE	2320	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_072	DISTINCT	2059	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_073	DROP	2060	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_074	EACH	2061	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_075	ELSE	2062	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_076	ELSIF	2063	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_077	ENABLE	2064	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_078	END	2065	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_079	ERRORS	2066	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_080	ESCAPE	2067	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_081	EXCEPT	2307	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_082	EXCEPTION	2068	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_083	EXCLUSIVE	2069	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_084	EXECUTE	2070	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_085	EXISTS	2071	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_086	EXIT	2072	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_087	EXPLAIN	2073	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_088	FETCH	2074	clause-starter	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_089	FILE	2075	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_090	FIRST	2076	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_091	FLASHBACK	2077	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_092	FLOAT	2078	type	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_093	FOLLOWING	2290	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_094	FOR	2079	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_095	FORALL	2080	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_096	FORCE	2081	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_097	FOREIGN	2082	nonreserved	allow	reject	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_098	FORMAT	2331	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_099	FROM	2083	clause-starter	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_100	FULL	2084	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_101	FUNCTION	2085	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_102	GENERATED	2086	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_103	GLOBAL	2087	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_104	GOTO	2088	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_105	GRANT	2089	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_106	GROUP	2090	clause-starter	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_107	GROUPING	2296	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_108	GROUPS	2291	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_109	HASH	2091	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_110	HAVING	2092	clause-starter	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_111	IDENTIFIED	2093	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_112	IDENTITY	2094	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_113	IF	2095	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_114	IMMEDIATE	2096	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_115	IN	2097	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_116	INCLUDE	2098	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_117	INCREMENT	2099	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_118	INDEX	2100	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_119	INITIAL	2101	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_120	INITIALLY	2102	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_121	INNER	2103	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_122	INSERT	2104	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_123	INSTEAD	2105	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_124	INTEGER	2106	type	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_125	INTERSECT	2107	clause-starter	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_126	INTERVAL	2108	type	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_127	INTO	2109	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_128	INVISIBLE	2110	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_129	IS	2111	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_130	ISOLATION	2112	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_131	ITERATE	2280	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_132	JAVA	2327	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_133	JOIN	2113	clause-starter	allow	allow	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_134	JSON	2332	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_135	JSON_ARRAY	2333	function	allow	allow	skip	allow	allow	skip	lexer keyword classified by local Oracle parser policy
kw_136	JSON_EXISTS	2334	function	allow	allow	skip	allow	allow	skip	lexer keyword classified by local Oracle parser policy
kw_137	JSON_MERGEPATCH	2335	function	allow	allow	skip	allow	allow	skip	lexer keyword classified by local Oracle parser policy
kw_138	JSON_OBJECT	2336	function	allow	allow	skip	allow	allow	skip	lexer keyword classified by local Oracle parser policy
kw_139	JSON_QUERY	2337	function	allow	allow	skip	allow	allow	skip	lexer keyword classified by local Oracle parser policy
kw_140	JSON_TABLE	2300	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_141	JSON_VALUE	2338	function	allow	allow	skip	allow	allow	skip	lexer keyword classified by local Oracle parser policy
kw_142	KEEP	2114	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_143	KEY	2115	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_144	LAST	2116	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_145	LATERAL	2301	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_146	LEFT	2117	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_147	LEVEL	2118	pseudo-column	reject	reject	skip	reject	skip	allow	lexer keyword classified by local Oracle parser policy
kw_148	LIBRARY	2328	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_149	LIKE	2119	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
